Code;svenska;shortTitle;inclusion;exclusion;criteria;consider;note
D05;Klåda kring analöppningen;Perianal itching;perianal pruritus;pruritus vulvae X16;;;
D06;Annan lokaliserad buksmärta;Abdominal pain localized other;colonic pain;"generalized abdominal pain D01; epigastric pain D02; heartburn D03; dyspepsia/indigestion D07; flatulence/gas/belching D08; irritable bowel syndrome D93; biliary colic D98; renal colic U14; dysmenorrhoea X02";;;
D07;Dyspepsi / annan matsmältningsrubbning;Dyspepsia/indigestion;;"epigastric pain D02; heartburn D03; flatulence/gas/belching D08; GORD D84";Chronic or recurrent pain or discomfort centered in the upper abdomen;;
D08;Flatulens / väderspänning / rapning;Flatulence/gas/belching;"bloating; eructation; gas pains; gaseous distension; passing wind";"dyspepsia/indigestion D07; change in abdominal size D25";;;
D09;Illamående;Nausea;;"feelings of over-eating D02; vomiting D10; alcohol induced nausea P16; loss of appetite T03; nausea in pregnancy W05";;;code for nausea and vomiting as a diagnosis: D10
D10;Uppkastning;Vomiting;"emesis; hyperemesis; retching";"haematemesis D14; vomiting in pregnancy W05";;;code for diarrhoea and vomiting as a diagnosis: D11
D11;Diarré;Diarrhoea;"frequent/loose bowel movements; watery stools";"melaena D15; change in faeces/bowel movements D18";;;
D12;Förstoppning;Constipation;faecal impaction;ileus D99;;;
D13;Gulsot;Jaundice;icterus;;;;
D14;Hematemes / blodkräkning;Haematemesis/vomiting blood;;haemoptysis R24;;;
D15;Melena;Melaena;black/tarry stools;fresh blood in stool D16;;;
D16;Blödning från ändtarmen;Rectal bleeding;fresh blood in stool;"occult blood in faeces A10; melaena D15";;;
D17;Avföringsinkontinens;Incontinence of bowel;faecal incontinence;encopresis P13;;;
D18;Förändring i avföring / avföringsvanor;Change in faeces/bowel movements;;"occult blood A91; diarrhoea D11; constipation D12; incontinence of bowel D17";;;
D19;Symptom / besvär betr. tänder / tandkött;Teeth/gum symptom/complaint;"denture problem; gingival bleeding; teething; toothache";caries D82;;;
D20;Symptom / besvär betr. mun/tunga/läppar;Mouth/tongue/lip symptom/complaint;"bad breath; coated tongue; cracked lips; dribbling; dry mouth; halitosis; sore mouth; swollen lips";"dental/gum problem D19; cheilosis D83; disturbance of taste N16; dehydration T11";;;
D21;Sväljningssvårigheter;Swallowing problem;"choking feeling; dysphagia";;;;
D23;Leverförstoring;Hepatomegaly;;;;;
D24;Utfyllnad i buken UNS;Abdominal mass NOS;lump abdomen;"splenomegaly B87; hepatomegaly D23; renal mass U14";;;
D25;Spänd mage;Abdominal distension;abdominal swelling without mass;"flatulence/gas/belching D08; abdominal mass D24; ascites D29";;;
D26;Rädsla för cancer i matsmältningsorganen;Fear of cancer of digestive system;;if the patient has the disease, code the disease;concern about/fear of cancer of digestive system in a patient without the disease/until the diagnosis is proven;;
D27;Rädsla för annan matsmältningssjukdom;Fear of digestive disease other;;"fear of cancer of digestive system D26; if the patient has the disease, code the disease";concern about/fear of other digestive disease in a patient without the disease/until the diagnosis is proven;;
D28;Funktionsbegränsning / handikapp (D);Limited function/disability (D);;"colostomy/gastrostomy A89; post surgery disorder D99; dumping syndrome D99";limitation of function/disability due to a digestive problem;;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
D29;Matsmältningssymptom / besvär, annat;Digestive symptom/complaint other;"ascites; teeth grinding";;;;
D70;Gastrointestinal infektion;Gastrointestinal infection;gastrointestinal infection/dysentery with specified organisms including campylobacter, giardia, salmonella, shigella, typhoid, cholera;"contact with/carrier of infective/parasitic disease A99; gastroenteritis presumed infection D73";a symptomatic patient with isolation or serological evidence of pathogenic bacteria, virus, or protozoan from either the stool or from food ingested;gastroenteritis presumed infection D73;
D71;Påssjuka;Mumps;mumps meningitis/orchitis/pancreatitis;;"acute non-suppurative, non-erythematous, diffuse tender inflammation of one or more salivary glands; or acute mumps infection demonstrated by culture or serology; or orchitis in a person exposed to mumps following appropriate incubation period";swelling A08;
D72;Virushepatit;Viral hepatitis;"all hepatitis presumed viral; chronic active hepatitis";hepatitis NOS D97;"evidence of viral infection with inflammation of the liver with/without jaundice; or serological evidence of an infection with a hepatitis virus";"jaundice D13; hepatomegaly D23";
D73;Gastroenterit, förmodad infektion;Gastroenteritis presumed infection;"diarrhoea/vomiting presumed to be infective; dysentery NOS; food poisoning; gastric flu";"irritable bowel syndrome D93; non-infective enteritis and gastroenteritis(chronic enteritis/ulcerative colitis) D94; non-infective enteritis and gastroenteritis (disease digestive system other) D99";;;
D74;Malign tumör i magsäcken;Malignant neoplasm stomach;carcinoma stomach;;characteristic histological appearance;"other malignant digestive neoplasm (when primary site is uncertain) D77; benign/unspecified digestive neoplasm D78";
D75;Malign tumör i tjocktarm / ändtarm;Malignant neoplasm colon/rectum;;;characteristic histological appearance;"other digestive malignant neoplasm (when primary site is uncertain) D77; benign/unspecified digestive neoplasm D78";
D76;Malign tumör i bukspottskörtel;Malignant neoplasm pancreas;carcinoma of pancreas;;characteristic histological appearance;"other digestive malignant neoplasm (when primary site is unknown) D77; benign/unspecified digestive neoplasm D78";
D77;Annan malign tumör i matsmältningsorgan;Malignant digestive neopl other/NOS;all other primary malignancies of digestive system, gallbladder cancer, liver cancer;"secondary malignancy of unknown site A79; Malignant neoplasm stomach D74; Malignant neoplasm colon/rectum D75; Malignant neoplasm pancreas D76; secondary malignancy of known site (code to site)";;benign/unspecified digestive neoplasm D78;
D78;Benign eller ospecificerad tumör (D);Neoplasm digestive benign/unspecif;"benign digestive neoplasm; digestive neoplasm not specified as benign or malignant/when histology is not available; polyp of colon; polyp of duodenum; polyp of rectum; polyp of stomach";;;;
D79;Främmande kropp i naturlig öppning;Foreign body digestive system;foreign body swallowed/in digestive tract, including mouth, oesophagus, rectum;foreign body in throat/inhaled R87;;;
D80;Annan skada på matsmältningsorgan;Injury digestive system other;"injury to abdominal organ; injury to teeth; injury to tongue";"multiple organ injuries A81; injury pelvic organs female X82; injury male genital Y80";;;
D81;Medfödd missbildning i matsmältningsorg.;Congenital anomaly digestive system;"biliary anomaly; cleft lip/palate; Hirschprung's disease; Meckel's diverticulum; megacolon; oesophageal atresia; pyloric stenosis; tongue-tie";"haemangioma/lymphangioma S81; congenital metabolic disorder T80";;;
D82;Sjukdom i tänder / tandkött;Teeth/gum disease;"caries; dental abscess; gingivitis; malocclusion; temporomandibular joint disorder";"teething/denture problem D19; injury to teeth/gum D80; Vincent's angina D83";;;
D83;Sjukdom i mun / tunga / läpp;Mouth/tongue/lip disease;"aphthous ulcer; cheilosis; glossitis; mucocoele; oral thrush; parotitis; salivary calculus; stomatitis; Vincent's angina";"mumps D71; other injury digestive system D80; herpes simplex S71";;;
D84;Sjukdom i matstrupen;Oesophagus disease;"achalasia; Mallory-Weiss syndrome; oesophagial diverticulum; oesophagitis; oesophagus ulceration; reflux";"cancer of oesophagus D77; hiatus hernia D90; oesophageal varices K99";;;
D85;Duodenalsår;Duodenal ulcer;bleeding/obstructing/perforated ulcer;;"characteristic imaging findings; or characteristic endoscopy findings; or exacerbation of symptoms in a patient with a previously proven duodenal ulcer";"heartburn D03; dyspepsia/indigestion D07";
D86;Peptiskt sår, annat;Peptic ulcer other;"acute erosion; gastric/gastrojejunal/marginal ulcer; Zollinger-Ellison syndrome";"oesophageal ulcer D84; duodenal ulcer D85";"characteristic imaging/endoscopy findings; or exacerbation of symptoms in a patient with a previously proven ulcer";"heartburn D03; dyspepsia/indigestion D07";
D87;Störning i macksäckens funktion / gastrit;Stomach function disorder;"acute dilatation stomach; duodenitis; gastritis";"gastrointestinal infection D70; gastroenteritis presumed infection D73";disorder of stomach function proven by investigation;"abdominal pain D01; epigastric pain D02; heartburn D03; abdominal pain D06; indigestion/dyspepsia D07; gas problems (wind) D08; nausea D09; vomiting D10; oesophagitis D84";
D88;Blindtarmsinflammation;Appendicitis;appendix abscess/perforation;;objective evidence of inflammation of the appendix, such as demonstrated at operation or pathological examination;"abdominal pain D01; abdominal pain D06; vomiting D10";
D89;Ljumskbråck;Inguinal hernia;;femoral hernia D91;swelling in the inguinal region and transmitted impulse with cough, or enlargement on straining, or swelling reducible into the abdomen, or intestinal obstruction;abdominal mass D24;
D90;Mellangärdsbråck;Hiatus hernia;diaphragmatic hernia;oesophagitis/reflux D84;characteristic findings on imaging/endoscopy/intraluminal pressure studies/surgery;"epigastric pain D02; heartburn D03; dyspepsia/indigestion D07";
D91;Annat bukbråck;Abdominal hernia other;femoral/umbilical/ventral hernia;"post-surgical hernia A87; inguinal hernia D89; hiatus hernia D90";"demonstration at surgery; or swelling in the specified area and transmitted impulse with cough, or enlargement on straining, or reducible into the abdomen, or intestinal obstruction";abdominal mass D24;
D92;Divertikelsjukdom;Diverticular disease;diverticulitis/diverticulosis of intestine;"Meckel's diverticulum D81; oesophageal diverticulum D84";"imaging demonstration of diverticula; or demonstration of diverticula at surgery; or acute abdominal pain with fever and palpable tender descending/sigmoid colon";"abdominal pain D01; abdominal pain D06";
D93;Colon irritabile;Irritable bowel syndrome;"mucous colitis; spastic colon";"gastrointestinal infection D70; gastroenteritis presumed infection D73; regional enteritis D94; allergic/dietetic/toxic gastroenteritis/colitis D99; vascular insufficiency of gut D99; psychogenic diarrhoea P75";"continuous/intermittent abdominal pain and variable bowel pattern over a period of time; and increased gas, or tender and palpable colon, or history of mucous without blood in stool";"abdominal pain D01; abdominal pain D06; flatulence D08; diarrhoea D11; constipation D12";
D94;Crohns sjukdom / ulcerös kolit;Chronic enteritis/ulcerative colitis;"Crohn's disease; regional enteritis; ulcerative colitis";;characteristic endoscopic/imaging/histological findings;"abdominal pain D01; diarrhoea D11; mucus colitis D93";
D95;Analfissur 7 perianal abscess;Anal fissure/perianal abscess;"anal fistula; ischiorectal abscess";pilonidal abscess S85;;;
D96;Maskar / andra parasiter;Worms/other parasites;"cestodes; creeping eruption; hydatid disease; intestinal parasites unspecified; trichiniasis";;"either demonstration of helminth in adult form, larvae, or ova; or positive skin tests; or positive serology";;
D97;Leversjukdom UNS;Liver disease NOS;"alcohol hepatitis; cirrhosis; fatty liver; hepatitis NOS; liver failure; portal hypertension";"viral hepatitis D72; hydatid disease D96";;;
D98;Inflammation i gallblåsa / gallsten;Cholecystitis/cholelithiasis;"biliary colic; cholangitis; gallstones";;"cholecystitis: demonstration of typical pathology by ultrasound or surgery; or localized right upper quadrant tenderness and jaundice or fever or history of gall stones; - cholelithiasis: imaging or surgical demonstration of gall stones; - acute biliary colic: acute colicky right upper quadrant abdominal pain without fever; and jaundice or right upper quadrant abdominal tenderness, or history of gall stones";localized abdominal pain D06;
D99;Annan sjukdom i matsmältningsorganen;Disease digestive system other;"abdominal adhesions; allergic/toxic/dietetic gastroenteropathy; coeliac disease; dumping syndrome; food intolerance; ileus; intestinal obstruction; intussuception; lactose intolerance; malabsorption syndrome; mesenteric vascular disease; pancreatic disease; peritonitis; secondary megacolon; sprue";"antibiotic associated colitis A85; Malignant neoplasm stomach D74; Malignant neoplasm colon/rectum D75; Malignant neoplasm pancreas D76; Malignant digestive neoplasm, other/NOS D77";;;
F01;Ögonsmärta;Eye pain;;abnormal eye sensations F13;;;
F02;Rött öga;Red eye;bloodshot/inflamed eye;;;;
F03;Tårflöde från öga;Eye discharge;"lacrimation; purulent discharge; watery eye";;;;
F04;Fotopsi / ljusfläckar i synfält;Visual floaters/spots;fixed/floating spots in the visual field;other visual disturbance F05;;;
F05;Annan störning i synförmåga;Visual disturbance other;"blurred vision; difficulty reading; diplopia; eye strain; photophobia; scotoma and dazzle when symptoms confined to eyes; temporary blindness NOS; visual loss; weak eyes";"blindness one eye F28; snowblindness F79; refractive errors F91; permanent blindness F94; colour/night blindness F99";;;
F13;Onormal förnimmelse i öga;Eye sensation abnormal;burning/dry/itchy eye;eye pain F01;;;
F14;Avvikande ögonrörelser;Eye movements abnormal;nystagmus;"squint F95; twitching N08; tic of eye P10";;;
F15;Ögonens avvikande utseende;Eye appearance abnormal;"change eye colour; swollen eye";red eye F02;;;
F16;Ögonlockssymptom / -besvär;Eyelid symptom/complaint;"abnormal blinking; ptosis eyelid";inflamed eyelid F72;;;
F17;Symptom / besvär av glasögon;Glasses symptom/complaint;problems due to spectacles affecting structure, function or sensations of eye(s);contact lens symptom/complaint F18;;;
F18;Symptom / besvär av kontaktlinser;Contact lens symptom/complaint;problems due to contact lens affecting structure, function or sensations of eye(s);;;;
F27;Rädsla för ögonsjukdom;Fear of eye disease;fear of blindness;if the patient has the disease, code the disease;concern about/fear of eye disease in a patient without the disease/until the diagnosis is proven;;
F28;Funktionsbegränsning/ handikapp (öga);Limited function/disability (F);blindness one eye;blindness F94;limitation of function/disability due to a problem with vision/eye(s);;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
F29;Annat ögonsymptom / -besvär;Eye symptom/complaint other;;;;;
F70;Infektiös konjunktivit;Conjunctivitis infectious;"bacterial conjunctivitis; conjunctivitis NOS; viral conjunctivitis";"allergic conjunctivitis with/without rhinorrhoea F71; flash burn F79; trachoma F86";presumed or proven infectious inflammation of conjunctiva;;
F71;Allergisk konjunktivit;Conjunctivitis allergic;allergic conjunctivitis with/without rhinorrhea;"bacterial/viral conjunctivitis F70; flashburn F79; trachoma F86";presumed or proven allergic hyperaemia of conjunctiva, excess watering of eyes, itching/oedema of conjunctiva;;
F72;Ögonlocksinflammation / chalazion / vagel;Blepharitis/stye/chalazion;"dermatitis/dermatosis of eyelids; eye lid infection; hordeolum; meibomian cyst; tarsal cyst";dacrocystitis/dacryocystitis F73;generalized/localized inflammation/swelling of eyelid/tarsal gland;;
F73;Annan infektion / inflammation i öga;Eye infection/inflammation other;"dacrocystitis/dacryocystitis; herpes simplex of eye without corneal ulcer; infammation of the orbit; iridocyclitis; iritis; keratitis";"measles keratitis A71; corneal ulcer (herpes) F85; trachoma F86; herpes zoster S70";;;
F74;tumör i öga / omgivande vävnad;Neoplasm of eye/adnexa;benign/malignant neoplasm of eye/adnexa;;;;
F75;Kontusion / blodutgjutning i öga;Contusion/haemorrhage eye;"black eye; hyphaema; subconjunctival haemorrhage";corneal ulcer F85;;;
F76;Främmande kropp i öga;Foreign body in eye;;corneal abrasion F79;;;
F79;Annan ögonskada;Injury eye other;"corneal abrasion; flash burn; snowblindness";"contusion/haemorrhage eye F75; foreign body in eye F76";;;
F80;Täppt tårkanal hos nyfödd;Blocked lacrimal duct of infant;;"dacryocystitis F73; blocked lacrimal duct in older person F99";overflow of tears without crying, beginning before the age of three months;;
F81;Annan medfödd ögonmissbildning;Congenital anomaly eye other;;;;;
F82;Näthinneavlösning;Detached retina;;;;;
F83;Retinopati;Retinopathy;diabetic/hypertensive retinopathy;;;;Double code known causative disease, e.g. diabetes T89, T90 or hypertension K87
F84;Degeneration an macula;Macular degeneration;;retinopathy F83;;;
F85;Hornhinneulceration;Corneal ulcer;"dendritic ulcer; viral keratitis";corneal abrasion/other eye injury F79;;;
F86;Trakom;Trachoma;;;either proven infection with Chlamydia trachomatis, or typical clinical features including chronic inflammation and hypertrophy of the conjunctiva with formation of yellowish/greyish granules;"red eye F02; discharge from eye F03";
F91;Brytningsfel;Refractive error;"astigmatism; hypermetropia; long sightedness; myopia; presbyopia; short sightedness";partial/complete blindness F94;visual deficit correctible with an appropriate lens;;
F92;Grå starr;Cataract;;congenital cataract F81;opacity of part/all of the optic lens which reduces/impairs vision;;
F93;Glaukom;Glaucoma;raised intraocular pressure;congenital glaucoma F81;;;
F94;Blindhet;Blindness;partial/complete blindness of both eyes;"blurred vision/temporary blindness F05; blindness one eye F28; snow blindness F79; refractive errors F91; colour/night blindness F99";;;
F95;Skelning;Strabismus;"cross-eye; squint";;lack of parallelism of visual axis of the eyes demonstrated at medical examination;abnormal eye movement F14;
F99;Annan ögonsjukdom;Eye/adnexa disease other;"amblyopia; arcus senilis; colour blindness; corneal opacity; disorder of orbit; ectropion; entropion; episcleritis; ingrowing eyelash; lazy eye; night blindness; papilloedema; pterygium; scleritis";;;;
H01;Öronvärk;Ear pain/earache;;;;;
H02;Hörselbesvär;Hearing complaint;"auditory discrimination disorder; diplacusis and feeling of hearing loss; hyperacusis";"deafness both ears H86; deafness one ear H86";;;
H03;Ringning / susning / tinnitus;Tinnitus, ringing/buzzing ear;echo in ear;ears crackling/popping H29;;;
H04;Sekretion från öra;Ear discharge;;blood in/from ear H05;;;
H05;Blodi/uröra;Bleeding ear;blood in/from ear;;;;
H13;Lockkänsla i öra;Plugged feeling ear;blocked ear;excessive ear wax H81;;;
H15;Bekymmer över öronens utseende;Concern with appearance of ears;;bat ears/congenital anomaly ear H80;;;
H27;Rädsla för öronsjukdom;Fear of ear disease;fear of deafness;in a patient with the disease, code the disease;concern about/fear of ear disease/deafness in a patient without the disease/until the diagnosis is proven;;
H28;Funktionsbegränsning/ handikapp (öra);Limited function/disability (H);temporary deafness;"presbyacusis H84; acoustic trauma H85; deafness H86; dizziness/vertigo N17";limitation of function/disability due to a problem with ear/hearing;;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
H29;Annat öronsymptom / besvär;Ear symptom/complaint other;"ears crackling/popping; itchy ears; pulling at ears";dizziness/loss of balance/vertigo N17;;;
H70;Örongångsinflammation / extern otit;Otitis externa;"abscess/eczema/furuncle external auditory meatus; swimmer's ear";;inflammation/desquamation of the external auditory canal;;
H71;Akut mellanöre- / trumhinneinflammation;Acute otitis media/myringitis;"acute mastoiditis; acute suppurative otitis media; acute tympanitis; otitis media NOS";"serous otitis media H72; chronic otitis media H74";"recent perforation of the tympanic membrane discharging pus; or inflamed and bulging tympanic membrane; or one ear drum more red than the other; or red tympanic membrane, with ear pain; or bullae on the tympanic membrane";"ear pain H01; ear discharge H04";
H72;Serös mellanöreinflammation / limöra;Serous otitis media;"glue ear; otitis media with effusion (OME)";"acute otitis media H71; chronic otitis media H74";"visible fluid behind the tympanic membrane, without inflammation; or dullness of the tympanic membrane with either retracting, bulging, or with related impairment of hearing";"plugged feeling ear H13; eustachian salpingitis/block H73";
H73;Otosalpingit;Eustachian salpingitis;eustachian block/catarrh/dysfunction;serous otitis media H72;;plugged feeling ear H13;
H74;Kronisk mellanöreinflammation;Chronic otitis media;"cholesteatoma; chronic mastoiditis; chronic suppurative otitis media";serous otitis media H72;;;
H75;tumör i öra;Neoplasm of ear;benign/malignant neoplasm of ear;"polyp ear H99; acoustic neuroma N75";;;
H76;Främmande kropp i öra;Foreign body in ear;;;;;
H77;Trumhinneperforation;Perforation ear drum;;"perforation ear drum with infection (Acute otitis media/myringitis) H71; perforation ear drum with infection (Chronic otitis media) H74; traumatic/pressure rupture ear drum H79";;;
H78;Ytlig öronskada;Superficial injury of ear;external meatus/pinna injury;injury of tympanic membrane H79;;;
H79;Annan öronskada;Ear injury other;traumatic/pressure rupture of ear drum;;;;
H80;Medfödd öronmissbildning;Congenital anomaly of ear;"accessory auricle; bat ears";congenital deafness H86;;;
H81;Vaxpropp;Excessive ear wax;;;symptom/complaint due to wax in ear canal;;
H82;Yrselsyndrom;Vertiginous syndrome;"benign paroxysmal/positional vertigo; labyrinthitis; Ménière's disease; vestibular neuronitis";;true rotational vertigo;vertigo/giddiness/dizziness N17;
H83;Otoskleros;Otosclerosis;;;;;
H84;Presbyacusis / nedsatt hörsel pga ålder;Presbyacusis;;deafness H86;gradual onset with ageing of symmetrical, bilateral deafness, particularly involving high-frequency sounds;hearing impairment H28;
H85;Bullerskada;Acoustic trauma;noise deafness;perforation of ear drum H77;deafness in the high-frequency range with a definite history of exposure to loud noise;"hearing impairment H28; deafness H86";
H86;Dövhet;Deafness;"congenital deafness; deafness one ear; partial/complete deafness both ears";"temporary deafness H28; otosclerosis H83; presbyacusis H84; noise deafness H85";;;
H99;Annan sjukdom i öra / proc. mastoideus;Ear/mastoid disease other;"constricted external canal; narrow external canal; polyp of middle ear; stenosis external canal";mastoiditis H74;;;
K01;Hjärtrelaterad smärta;Heart pain;pain attributed to the heart;"chest pain NOS A11; fear of heart attack K24; angina pectoris K74; chest tightness R29";;;
K02;Tryck- / obehagskänsla i hjärtat;Pressure/tightness of heart;heaviness of heart;"chest pain NOS A11; fear of heart attack K24; angina pectoris K74; shortness of breath/dyspnoea R02";;;
K03;Smärta relaterad till blodcirkulationen UNS;Cardiovascular pain NOS;;"pain attributed to the heart K01; claudication K92; migraine N89";;;
K04;Hjärtklappning, medvetenhet om hjärtat;Palpitations/awareness of heart;"bradycardia; tachycardia";paroxysmal tachycardia K79;;;
K05;Annan avvikande/ oregelbunden hjärtrytm;Irregular heartbeat other;;palpitations K04;;;
K06;Framträdande vener;Prominent veins;"spider naevus; unusually prominent veins";"varicose veins K95; haemangioma S81";;;
K07;Svullna vrister / ödem;Swollen ankles/oedema;"dropsy; fluid retention; swollen feet/legs";"ankle symptom L16; localized swelling S04";;;
K22;Riskfaktor för kardiovaskulär sjukdom;Risk factor cardiovascular disease;"other risk factor for cardiovascular disease; personal/family history of cardiovascular disease; previous episode of cardiovascular disease";;;;
K24;Rädsla för hjärtsjukdom;Fear of heart disease;fear of heart attack;if patient has the disease, code the disease;concern about/fear of heart attack/disease in a patient without the disease/untill the diagnosis is proven;;
K25;Rädsla för blodtryckssjukdom;Fear of hypertension;;if patient has the disease, code the disease;concern about/fear of hypertension in a patient without the disease/until the diagnosis is proven;;
K27;Rädsla för annan blodcirkulationssjukdom;Fear cardiovascular disease other;;"Fear of heart disease K24; Fear of hypertension K25; if patient has the disease, code the disease";concern about/fear of other disease of the circulatory system in a patient without the disease/until the diagnosis is proven;;
K28;Funktionsbegränsing/handikapp (cirk.org);Limited function/disability (K);;;limitation of function/disability due to a cardiovascular problem;;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
K29;Annat symptom / besvär (cirkulationsorg.);Cardiovascular sympt/complt other;"heart trouble; low blood pressure; weak heart";"fluid in lung/lung congestion R29; pleural effusion/exudates R82; cyanosis S08";;;
K70;Infektionssjukdom i cirkulationsorganen;Infection of circulatory system;"acute/subacute endocarditis; bacterial endocarditis; myocarditis; pericarditis";"rheumatic heart disease K71; chronic endocarditis K83; phlebitis/thrombophlebitis K94; arteritis K99";;;
K71;Reumatisk feber / hjärtsjukdom;Rheumatic fever/heart disease;"chorea; mitral stenosis";;"For acute rheumatic fever: two major, or one major, and two minor manifestations, plus evidence of preceding streptococcal  infection; - major manifestations: migratory polyarthritis; carditis; chorea; erythema marginatum; subcutaneous nodules of recent onset - minor manifestations: fever; arthralgia; elevated ESR or positive C-reactive protein; prolonged P-R interval on ECG- For chronic rheumatic heart disease: either physical findings consistent with a valve lesion of the heart in a patient with a history of rheumatic fever; or physical findings consistent with mitral stenosis, even in the absence of a history of rheumatic fever, but without any other demonstrable cause";"heart valve disease K83; other heart disease K84";
K72;tumör i cirkulationsorganen;Neoplasm cardiovascular;benign/malignant cardiovascular neoplasm;haemangioma S81;;;
K73;Medfödd missbildning i cirkulationsorgan;Congenital anomaly cardiovascular;"atrial/ventricular septal defect; Fallot's tetralogy; patent ductus arteriosa";haemangioma S81;;;
K74;Ischemisk hjärtsjukdom med angina;Ischaemic heart dis with angina;"angina of effort; angina pectoris; angina with spasm; ischaemic chest pain; unstable angina";ischaemic heart disease without angina K76;"history plus ECG or imaging evidence of old myocardial infarction; or demonstration of myocardial ischaemia by resting or exercise ECG; or investigation evidence of coronary artery narrowing or ventricular aneurysm";heart pain K01;
K75;Akut hjärtinfarkt;Acute myocardial infarction;myocardial infarction specified as acute or within 4 weeks (28 days) of onset;"old/healed myocardial infarction (Ischaemic heart disease with angina) K74; old/healed myocardial infarction (Ischaemic heart disease without angina) K76";chest pain characteristic of myocardial ischemia, lasting more than 15 minutes, and/or abnormal ST-T changes or new Q-waves in electrocardiogram and/or elevation of blood cardiac enzymes;"heart pain K01; angina pectoris K74; chronic ischaemic heart disease K76";double code K74 or K76 as well
K76;Ischemisk hjärtsjukdom utan angina;Ischaemic heart dis without angina;"aneurysm of heart; arteriosclerotic/atherosclerotic heart disease; coronary artery disease; ischaemic cardiomyopathy; old myocardial infarction; silent myocardial ischaemia";ischaemic heart disease with angina K74;"history plus ECG, or imaging evidence of old myocardial infarction; or demonstration of myocardial ischaemia by resting or exercise ECG; or investigation evidence of coronary artery narrowing; or ventricular aneurysm";;
K77;Hjärtsvikt;Heart failure;"cardiac asthma; congestive heart failure; heart disease/heart failure with pulmonary oedema; heart failure NOS; left ventricular failure; right ventricular failure";"cor pulmonale K82; pulmonary oedema without heart disease/heart failure R99";multiple signs including dependent oedema, raised jugular venous pressure, hepatomegaly in the absence of liver disease, pulmonary congestion, pleural effusion, enlarged heart.;;
K78;Förmaksflimmer / -fladder;Atrial fibrillation/flutter;;paroxysmal tachycardia K79;"characteristic findings by electrocardiogram; or totally irregular heart rate with a pulse deficit";"palpitations K04; abnormal irregular heartbeat K05";
K79;Paroxysmal takykardi;Paroxysmal tachycardia;supraventricular/ventricular tachycardia;"tachycardia NOS K04; atrial fibrillation K78";history of recurrent episodes of rapid heart rate (over l40/min) with both abrupt onset and termination;"palpitations K04; abnormal irregular heartbeat K05";
K80;Hjärtarrytmi UNS;Cardiac arrhythmia NOS;"atrial/junctional/ventricular premature beats; bigeminy; ectopic beats; extrasystoles; premature beats; sick sinus syndrome; ventricular fibrillation/flutter";paroxysmal tachycardia K79;one or more heart beats which occur at times other than the regular beats of the underlying rhythm;"palpitations K04; abnormal irregular heartbeat K05";
K81;Hjärtbiljud UNS;Heart/arterial murmur NOS;"cardiac/carotid/renal artery bruit; innocent murmur of childhood";"rheumatic heart disease K71; valve disease K83; cerebrovascular disease K90";;;
K82;Cor pulmonale;Pulmonary heart disease;"chronic cor pulmonale; disease of pulmonary vessels; primary pulmonary hypertension";pulmonary embolism K93;"presence of a chronic disease of the lungs, pulmonary vasculature, or respiratory gas exchange; plus presence of right ventricular enlargement or right heart failure";right heart failure K77;
K83;Klaffel, ej reumatiskt UNS;Heart valve disease NOS;"chronic endocarditis; mitral valve prolapse; non-rheumatic aortic/mitral/pulmonary/tricuspid valve disorder";rheumatic valve disease K71;"absence of criteria for chronic rheumatic heart disease K71; plus evidence of valvular dysfunction by either characteristic heart murmur, or by imaging/echocardiographic evidence of abnormal valve";"cardiac murmur NOS K81; hypertensive heart disease K87";
K84;Annan hjärtsjukdom;Heart disease other;"bundle branch block; cardiac arrest; cardiomegaly; cardiomyopathy; heart block; left bundle-branch block; non infectious disease of pericardium; other conduction disorders";cardiac arrhythmia K80;;;
K85;Förhöjt blodtryck;Elevated blood pressure;"elevated blood pressure not meeting criteria for K86 and K87; transient/labile hypertension";;;;
K86;Blodtryckssjukdom, okomplicerad;Hypertension uncomplicated;"essential hypertension; hypertension NOS; idiopathic hypertension";"hypertension with complications K87; hypertension in pregnancy W81";"either two or more readings per encounter, taken at two or more encounters, with blood pressures that average over 95 mm Hg diastolic or over 160 mm Hg systolic in adult patients; or two or more readings at a single encounter with an average diastolic blood pressure of 120 mm Hg or more; plus absence of evidence of secondary involvement of heart, kidney, eye, or brain";elevated blood pressure K85;1) For children, consult appropriate paediatric blood pressure tables. 2) If secondary hypertension, code also the underlying cause
K87;Blodtryckssjukdom, med komplitationer;Hypertension complicated;malignant hypertension;uncomplicated hypertension K86;"either two or more readings per encounter, taken at two or more encounters, with blood pressures that average over 95 mm Hg diastolic or over 160 mm Hg systolic in adult patients; or two or more readings at a single encounter with an average diastolic blood pressure of 120 mm Hg or more; plus evidence of abnormalities of the heart (enlargement, failure), kidney (albuminuria, azotemia), eye, or the brain attributed to hypertension";;1) For children, consult appropriate paediatric blood pressure tables. 2) If secondary hypertension, code also the underlying cause
